analysis_thread_id,collector_id,item_type,collected_sec,collected_nsec,deposited_sec,deposited_nsec,analysis_begin_sec,analysis_begin_nsec,analysis_end_sec,analysis_end_nsec
1,3,4,5908,480027331,5908,480027514,5911,269234181,5912,799379568
1,0,3,5913,479857267,5913,479857634,5913,799582460,5915,69699697
0,1,3,5913,479719033,5913,479719675,5913,689123709,5915,599291567
1,3,3,5913,480039410,5913,480039868,5915,69766706,5916,379859469
0,3,2,5913,480043993,5913,480044451,5915,599359584,5916,739501521
1,3,3,5913,480187727,5913,480188093,5916,379930053,5917,570114480
1,0,4,5918,479828371,5918,479828921,5918,570275021,5919,600426351
0,2,4,5918,479920771,5918,479921138,5918,739818387,5920,9944700
1,3,2,5918,480131513,5918,480131788,5919,600490243,5921,130689255
0,3,4,5918,480258381,5918,480258656,5920,10023808,5921,400238950
1,4,4,5918,480282672,5918,480282856,5921,130772581,5922,650897114
1,1,1,5923,479919008,5923,479919558,5923,651070580,5924,691399057
0,4,1,5923,480014341,5923,480014800,5924,400768057,5925,910911336
1,2,3,5923,480174300,5923,480174484,5924,691655633,5926,151831589
1,2,1,5923,480369093,5923,480369368,5926,151905472,5927,562162781
0,3,2,5923,480366893,5923,480367168,5925,910976969,5927,711121403
1,2,4,5928,480025045,5928,480026695,5928,562551665,5929,732697775
0,1,4,5928,480158695,5928,480159887,5928,711243994,5930,471548661
1,4,0,5928,480235421,5928,480236429,5929,732762125,5931,502922462
0,3,3,5928,480501347,5928,480502080,5930,471793412,5931,992052970
1,4,1,5928,480588980,5928,480589989,5931,503013854,5932,743359112
0,2,1,5933,480311299,5933,480311666,5933,992781879,5935,253019704
1,1,4,5933,480165457,5933,480166099,5933,743746712,5935,744211437
0,1,0,5933,480479875,5933,480480150,5935,253068013,5936,953336927
1,0,1,5933,480651384,5933,480651751,5935,744605514,5937,464965454
0,0,4,5933,480694559,5933,480695017,5936,953559586,5938,493935838
0,0,3,5938,480288269,5938,480288819,5938,494018246,5939,534356990
1,0,1,5938,480442912,5938,480443095,5939,465459329,5940,525582930
0,4,4,5938,480579220,5938,480579495,5939,534577815,5941,44937428
1,0,4,5938,480764204,5938,480764479,5940,525670289,5941,725987862
0,2,4,5938,480794638,5938,480795005,5941,45191896,5942,145513957
0,3,4,5943,480540057,5943,480540424,5944,145868132,5945,255966022
1,0,4,5943,480398523,5943,480398890,5943,726468721,5945,426623143
0,0,3,5943,480716241,5943,480716516,5945,256037614,5946,286226069
1,1,3,5943,480863367,5943,480863642,5945,426708026,5946,436915456
